Time period and codes,Health,"Medical products, appliances and equipment",Pharmaceutical products,Other medical products,Therapeutic appliances and equipment,Out-patient services,Medical services,Dental services,Paramedical services,Hospital services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,06,06.1,06.1.1,06.1.2,06.1.3,06.2,06.2.1,06.2.2,06.2.3,06.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,ADGP,ADGQ,UTXM,UUPU,UUPV,ADGR,ADVW,ADVX,UTME,ADGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"2,474",944,492,61,391,937,570,298,69,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"2,413",922,471,55,396,887,531,296,60,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"2,415",918,461,70,387,878,520,295,63,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"2,597",976,522,91,363,989,593,323,73,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"2,522",933,496,65,372,979,554,346,79,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"2,545",935,507,56,372,982,549,350,83,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"2,492",968,521,70,377,898,506,323,69,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"2,516","1,041",554,93,394,875,516,299,60,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
