Time period and codes,Transport,Purchase of vehicles,Motor cars,Motor cycles,Bicycles,Operation of personal transport equipment,Spare parts and accessories for personal transport equipment,Fuels and lubricants for personal transport equipment,Maintenance and repair of personal transport equipment,Other services in respect of personal transport equipment,Transport services,Rail,Road,Air,Sea and inland waterway,Other purchased transport services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,07,07.1,07.1.1,07.1.2,07.1.3,07.2,07.2.1,07.2.2,07.2.3,07.2.4,07.3,07.3.1,07.3.2,07.3.3,07.3.4,07.3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,ADGT,ADGU,ADVZ,ADWA,ADWB,ADGV,AWTV,CDDY,AWTZ,ADWG,ADGW,AWUA,ADWI,AWUB,AWUC,AWUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"19,336","7,300","7,028",151,121,"7,752",717,"3,830","2,406",799,"4,284",860,"1,185","1,623",411,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"20,358","7,054","6,694",238,122,"8,296",866,"4,023","2,562",845,"5,008",907,"1,389","2,127",343,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"25,246","10,379","10,021",237,121,"8,335",891,"4,023","2,591",830,"6,532","1,004","1,520","3,015",699,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"19,442","6,044","5,794",131,119,"8,327",835,"4,146","2,578",768,"5,071",938,"1,593","1,855",467,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"21,858","8,579","8,260",202,117,"8,590",857,"4,280","2,587",866,"4,689",887,"1,305","1,822",459,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"21,230","7,171","6,775",280,116,"8,618","1,021","4,066","2,657",874,"5,441",923,"1,545","2,316",406,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"25,778","10,057","9,683",257,117,"8,901","1,040","4,249","2,685",927,"6,820","1,008","1,600","3,218",687,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"20,415","6,277","6,027",130,120,"8,618",984,"4,170","2,678",786,"5,520",952,"1,599","2,233",513,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q1,"21,888","8,795","8,443",227,125,"8,632",992,"4,089","2,653",898,"4,461",904,"1,317","1,923",85,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q2,"23,803","8,602","8,170",302,130,"9,280","1,179","4,412","2,756",933,"5,921",918,"1,533","2,461",727,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q3,"26,859","9,500","9,097",269,134,"9,633",915,"4,914","2,843",961,"7,726",962,"1,604","3,495","1,301",364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q4,"21,399","6,634","6,351",147,136,"9,544",985,"4,916","2,823",820,"5,221",996,"1,658","2,267",45,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q1,"23,190","9,160","8,815",205,140,"9,359",890,"4,654","2,845",970,"4,671","1,002","1,410","1,986",14,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q2,"25,089","8,679","8,250",286,143,"9,945",973,"5,141","2,899",932,"6,465","1,038","1,693","2,746",666,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q3,"28,021","9,432","9,017",269,146,"10,089",849,"5,237","2,976","1,027","8,500","1,104","1,846","3,858","1,280",412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q4,"22,895","7,162","6,868",145,149,"9,835",907,"5,119","2,905",904,"5,898",993,"1,873","2,519",225,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q1,"25,008","10,284","9,933",202,149,"9,590",842,"4,938","2,826",984,"5,134",952,"1,522","2,206",183,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q2,"26,256","9,645","9,195",302,148,"9,840","1,012","5,019","2,882",927,"6,771","1,003","1,707","2,910",820,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q3,"28,984","10,616","10,200",267,149,"10,064",956,"4,917","3,097","1,094","8,304","1,040","1,806","3,974","1,058",426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q4,"23,714","8,303","8,012",145,146,"9,709",785,"4,819","3,149",956,"5,702","1,017","1,768","2,323",305,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Q1,"25,434","10,491","10,131",219,141,"9,804",838,"4,628","3,260","1,078","5,139",953,"1,492","2,259",147,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
