Time period and codes,Total expenditure,Net tourism,Total domestic expenditure,Total goods,Durable goods,Semi-durable goods,Non-durable goods,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,NAT0,TOUR,0,TG,TD,TSD,TND,TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,ABPB,ABTE,ABQI,UTIE,UTIA,UTIQ,UTII,UTIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"144,887",291,"144,596","63,778","15,889","11,955","35,934","80,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"150,474",607,"149,867","63,647","15,225","12,994","35,428","86,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"155,809",965,"154,844","65,418","18,476","13,019","33,923","89,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"159,193",-203,"159,396","71,655","16,103","17,159","38,393","87,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"153,347",560,"152,787","66,972","17,293","12,958","36,721","85,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"158,601","1,043","157,558","66,946","15,923","14,189","36,834","90,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"164,976","1,560","163,416","69,229","19,191","14,624","35,414","94,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"167,673",141,"167,532","75,013","17,475","18,566","38,972","92,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q1,"161,764",919,"160,845","70,151","18,428","14,106","37,617","90,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
