Time period and codes,Miscellaneous goods and services,Personal care,Hairdressing salons and personal grooming establishments,Electrical appliances for personal care,"Other appliances, articles and products for personal care",Prostitution,"Personal effects n.e.c
[note 7]",Jewellery clocks and watches,Other personal effects,Social protection,Insurance,Life insurance,Insurance connected with the dwelling,Insurance connected with health,Insurance connected with transport,Other insurance,"Financial services n.e.c
[note 7]","FISIM
[note 5]","Other financial services n.e.c
[note 7]","Other services n.e.c
[note 7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,12,12.1,12.1.1,12.1.2,12.1.3,12.2,12.3,12.3.1,12.3.2,12.4,12.5,12.5.1,12.5.2,12.5.3,12.5.4,12.5.5,12.6,12.6.1,12.6.2,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,ADII,ADIJ,CDEV,ADXR,ADXS,MNC8,ADIK,ADXU,ADXV,ADIL,ADIM,ADXW,ADXX,ADXY,ADXZ,ADYA,ADIN,C68S,ADYC,ADIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"16,044","2,482",743,38,"1,701",510,860,779,81,"1,415","3,617","2,283",299,358,303,374,"5,165","2,623","2,542","1,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"16,824","2,571",744,35,"1,792",516,982,862,120,"1,405","3,869","2,383",315,401,370,400,"5,497","2,973","2,524","1,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"17,499","2,613",741,36,"1,836",524,981,843,138,"1,423","3,797","2,452",290,361,329,365,"6,034","3,351","2,683","2,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"18,341","3,162",774,53,"2,335",529,"1,310","1,127",183,"1,407","3,623","2,566",259,280,201,317,"6,225","3,395","2,830","2,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"17,802","2,676",801,44,"1,831",536,952,821,131,"1,392","3,891","2,542",288,365,332,364,"6,430","3,535","2,895","1,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"18,779","2,810",833,42,"1,935",544,"1,070",924,146,"1,356","4,027","2,645",290,373,351,368,"6,693","3,523","3,170","2,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"19,065","2,903",861,46,"1,996",551,"1,060",904,156,"1,391","3,910","2,750",252,309,283,316,"7,068","3,664","3,404","2,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"19,606","3,489",890,64,"2,535",562,"1,361","1,174",187,"1,364","3,614","2,856",199,199,120,240,"6,791","3,518","3,273","2,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q1,"20,283","2,998",909,52,"2,037",573,"1,009",882,127,"1,306","3,856","2,593",277,340,298,348,"7,989","4,488","3,501","2,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q2,"19,749","3,070",926,49,"2,095",585,"1,158","1,016",142,"1,342","3,861","2,685",277,313,244,342,"7,346","3,785","3,561","2,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q3,"18,481","3,141",935,51,"2,155",596,"1,148",996,152,"1,433","3,922","2,766",253,308,277,318,"6,175","2,740","3,435","2,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q4,"20,695","3,695",944,80,"2,671",607,"1,472","1,290",182,"1,428","4,093","2,819",271,343,319,341,"7,050","3,323","3,727","2,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q1,"21,184","3,140",970,59,"2,111",618,"1,031",893,138,"1,430","3,880","2,755",232,289,259,345,"8,509","4,627","3,882","2,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q2,"20,690","3,188",993,55,"2,140",628,"1,155","1,010",145,"1,494","3,874","2,807",217,273,251,326,"8,455","4,593","3,862","1,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q3,"20,706","3,223","1,015",59,"2,149",640,"1,179","1,023",156,"1,558","3,977","2,850",254,315,290,268,"8,131","4,353","3,778","1,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q4,"21,216","3,875","1,050",83,"2,742",653,"1,626","1,416",210,"1,567","3,501","2,895",161,173,129,143,"7,038","3,236","3,802","2,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q1,"20,799","3,271","1,084",70,"2,117",665,"1,145",966,179,"1,486","3,675","2,408",356,387,271,253,"8,140","4,321","3,819","2,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
