Time period and codes,Total semi-durable goods,Clothing and footwear,Clothing materials,Garments,Other articles of clothing and clothing accessories,Shoes and other footwear,Household goods,Household textiles,Small electric household appliances,"Glassware, tableware and household appliances",Small tools and equipment,Transport,Spare parts and accessories for personal transport equipment,Recreation and culture,Recording media,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation",Books,Miscellaneous,Electrical appliances for personal care,Other personal effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,TSD,TSD03,03.1.1,03.1.2,03.1.3,03.2.1,TSD05,05.2,05.3.2,05.4,05.5.2,TSD07,07.2.1,TSD09,09.1.4,09.3.1,09.3.2,09.5.1,TSD12,12.1.2,12.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,UTIQ,LLJL,ADUQ,ADUR,ADUS,ADUV,LLJM,ADGG,ADVQ,ADGM,ADVT,LLJN,AWTV,LLJO,ADWT,ADWY,ADWZ,CDEO,LLJP,ADXR,ADXV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"11,955","5,875",36,"4,623",296,920,"2,246",848,164,717,517,717,717,"2,998",953,946,753,346,119,38,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"12,994","6,657",34,"5,247",294,"1,082","2,290",812,154,721,603,866,866,"3,026",894,888,857,387,155,35,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"13,019","6,764",34,"5,371",282,"1,077","2,277",815,148,733,581,891,891,"2,913",918,820,841,334,174,36,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"17,159","9,227",43,"7,557",350,"1,277","2,804","1,003",209,958,634,835,835,"4,057","1,348","1,077","1,049",583,236,53,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"12,958","6,247",31,"5,095",251,870,"2,491",888,167,817,619,857,857,"3,188","1,058",968,792,370,175,44,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"14,189","7,119",31,"5,763",260,"1,065","2,640",882,153,879,726,"1,021","1,021","3,221","1,029",979,826,387,188,42,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"14,624","7,383",32,"5,946",265,"1,140","2,662",915,154,921,672,"1,040","1,040","3,337","1,126","1,057",786,368,202,46,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"18,566","9,591",39,"7,947",316,"1,289","3,090","1,049",223,"1,143",675,984,984,"4,650","1,657","1,430",917,646,251,64,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q1,"14,106","6,653",33,"5,420",268,932,"2,641",878,171,929,663,992,992,"3,641","1,311","1,140",739,451,179,52,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q2,"15,019","7,348",35,"5,948",286,"1,079","2,682",852,149,956,725,"1,179","1,179","3,619","1,205","1,187",839,388,191,49,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q3,"15,147","7,515",39,"6,037",305,"1,134","2,682",894,151,967,670,915,915,"3,832","1,304","1,255",814,459,203,51,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q4,"19,576","9,999",52,"8,280",412,"1,255","3,177","1,104",220,"1,187",666,985,985,"5,153","1,758","1,656",950,789,262,80,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q1,"14,825","6,866",37,"5,622",298,909,"2,731",889,179,"1,030",633,890,890,"4,141","1,446","1,355",792,548,197,59,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q2,"15,713","7,809",43,"6,373",343,"1,050","2,802",883,158,"1,033",728,973,973,"3,929","1,207","1,357",863,502,200,55,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q3,"15,869","8,060",45,"6,521",361,"1,133","2,750",926,160,"1,024",640,849,849,"3,995","1,233","1,403",847,512,215,59,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q4,"20,857","10,836",61,"9,015",475,"1,285","3,317","1,148",221,"1,287",661,907,907,"5,504","1,731","1,823","1,053",897,293,83,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q1,"15,305","7,275",35,"6,021",280,939,"2,828",960,213,"1,005",650,842,842,"4,111","1,222","1,541",797,551,249,70,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q2,"16,397","8,112",50,"6,641",276,"1,145","2,897",969,186,"1,063",679,"1,012","1,012","4,108","1,139","1,514",915,540,268,62,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q3,"16,763","8,450",27,"6,891",306,"1,226","2,879","1,007",140,"1,058",674,956,956,"4,220","1,226","1,494",912,588,258,42,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q4,"21,797","11,303",36,"9,467",393,"1,407","3,513","1,199",233,"1,280",801,785,785,"5,839","1,777","1,919","1,158",985,357,82,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Q1,"16,390","7,991",42,"6,578",273,"1,098","2,872","1,022",121,968,761,838,838,"4,425","1,354","1,647",865,559,264,51,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Q2,"17,550","8,888",40,"7,284",284,"1,280","2,973",993,222,976,782,987,987,"4,399","1,278","1,600",939,582,303,81,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Q3,"17,707","9,142",35,"7,486",295,"1,326","2,988","1,043",199,967,779,854,854,"4,427","1,357","1,578",865,627,296,71,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Q4,"22,940","12,018",9,"10,116",413,"1,480","3,522","1,229",281,"1,175",837,795,795,"6,193","2,093","2,024","1,025","1,051",412,114,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003 Q1,"17,062","8,528",51,"7,020",316,"1,141","2,833",970,239,888,736,964,964,"4,444","1,440","1,626",778,600,293,61,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003 Q2,"18,365","9,566",30,"7,842",343,"1,351","2,838",960,129,944,805,970,970,"4,667","1,406","1,747",870,644,324,58,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003 Q3,"18,691","9,785",36,"8,015",337,"1,397","2,788","1,001",137,970,680,894,894,"4,842","1,489","1,783",841,729,382,104,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003 Q4,"24,460","12,575",9,"10,504",467,"1,595","3,735","1,234",334,"1,271",896,939,939,"6,626","2,114","2,359","1,006","1,147",585,226,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 Q1,"17,566","8,894",64,"7,199",425,"1,206","2,861",949,280,872,760,866,866,"4,595","1,581","1,666",730,618,350,126,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 Q2,"18,890","9,836",114,"7,855",427,"1,440","2,985",969,231,947,838,990,990,"4,716","1,481","1,742",844,649,363,115,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 Q3,"18,889","9,847",47,"7,849",500,"1,451","2,917",990,189,945,793,921,921,"4,847","1,531","1,741",843,732,357,106,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004 Q4,"24,259","12,766",51,"10,328",661,"1,726","3,567","1,198",376,"1,127",866,859,859,"6,475","2,103","2,247",903,"1,222",592,265,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 Q1,"17,725","9,059",28,"7,207",553,"1,271","2,763",878,172,960,753,"1,097","1,097","4,485","1,524","1,611",644,706,321,97,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 Q2,"18,428","9,954",87,"7,917",538,"1,412","2,794",876,130,934,854,855,855,"4,489","1,378","1,663",773,675,336,101,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 Q3,"19,072","10,220",81,"8,089",558,"1,492","2,906",915,275,936,780,890,890,"4,674","1,473","1,731",712,758,382,131,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 Q4,"25,144","13,398",28,"10,745",813,"1,812","3,562","1,131",342,"1,170",919,"1,101","1,101","6,569","2,100","2,269",998,"1,202",514,174,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 Q1,"17,957","9,344",101,"7,362",556,"1,325","2,944",916,286,914,828,947,947,"4,391","1,353","1,556",774,708,331,76,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 Q2,"19,487","10,496",93,"8,197",610,"1,596","3,130",961,176,"1,011",982,"1,002","1,002","4,467","1,331","1,541",915,680,392,93,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 Q3,"20,143","10,701",48,"8,316",708,"1,629","3,242",959,294,"1,048",941,"1,071","1,071","4,747","1,401","1,640",988,718,382,71,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 Q4,"26,201","13,849",21,"10,869",941,"2,018","3,790","1,125",312,"1,333","1,020","1,216","1,216","6,720","2,053","2,288","1,148","1,231",626,207,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 Q1,"18,573","9,285",46,"7,235",659,"1,345","3,217",987,282,960,988,961,961,"4,743","1,339","1,869",799,736,367,101,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 Q2,"20,715","10,874",71,"8,471",728,"1,604","3,355","1,059",147,"1,060","1,089",998,998,"5,091","1,313","2,181",919,678,397,81,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
