Time period and codes,Total non-durable goods,Food and non-alcoholic beverages,Food,Bread and cereals,Meat,Fish,"Milk, cheese and eggs",Oils and fats,Fruit,Vegetables,"Sugar, confectionery and ice-cream",Other food,Non-alcoholic beverages,"Coffee, tea and cocoa",Fruit and vegetable juices and other soft drinks,"Alcoholic beverages, tobacco and narcotics","Alcoholic beverages 
[note 1]",Spirits,"Wines, cider and perry",Beer,Tobacco,Narcotics,"Housing, water, electricity, gas and other fuel",Maintenance and repairs of the dwelling materials,Water supply,"Electricity, gas and other fuels",Electricity,Gas,Liquid fuels,Solid fuels,"Heat energy
[note 6]",Household goods,Non-durable household goods,Health,Pharmaceutical products,Other medical products,Transport,Fuels and lubricants for personal transport equipment,Recreation and culture,"Garden, plants and flowers",Pets and related products,Newspapers,Miscellaneous printed matter,Stationery and drawing materials,Miscellaneous,"Other appliances, articles and products for personal care",,,,,,,,,,,,,,,,,,,,
COICOP identifier code,TND,01,01.1,01.1.1,01.1.2,01.1.3,01.1.4,01.1.5,01.1.6,01.1.7,01.1.8,01.1.9,01.2,01.2.1,01.2.2,02,02.1,02.1.1,02.1.2,02.1.3,02.2,02.3,TND04,04.3.1,04.4.1,04.5,04.5.1,04.5.2,04.5.3,04.5.4,04.5.5,TND05,05.6.1,TND06,06.1.1,06.1.2,TND07,07.2.2,TND09,09.3.3,09.3.4,09.5.2,09.5.3,09.5.4,TND12,12.1.3,,,,,,,,,,,,,,,,,,,,
CDID identifier code,UTII,ABZV,ABZW,ADST,CDCJ,CDCK,CDCL,CDCM,CDCN,ADSZ,ADTD,ADTH,ADFK,CDCU,CDCV,ADFL,ADFM,UUHX,UTHT,UUMI,ADFN,MNC2,LLIX,ATKH,ADVE,ADFX,CDDL,ADVI,ADVJ,ADVK,ADVL,LLIY,ADVU,LLIZ,UTXM,UUPU,LLJA,CDDY,LLJB,AWTW,ADXB,CDEP,ADXI,ADXJ,LLJC,ADXS,,,,,,,,,,,,,,,,,,,,
1997 Q1,"35,934","12,939","11,759","2,284","2,724",457,"1,882",410,735,"1,623","1,092",552,"1,180",282,898,"7,207","2,080",621,853,606,"3,009","2,118","5,755",126,595,"5,034","2,322","2,352",192,168,[x],672,672,553,492,61,"3,830","3,830","3,277",794,770,948,489,276,"1,701","1,701",,,,,,,,,,,,,,,,,,,,
1997 Q2,"35,428","13,438","12,106","2,280","2,699",465,"1,884",410,905,"1,818","1,123",522,"1,332",318,"1,014","7,529","2,335",630,975,730,"3,087","2,107","3,783",143,622,"3,018","1,702","1,081",96,139,[x],731,731,526,471,55,"4,023","4,023","3,606","1,176",748,973,443,266,"1,792","1,792",,,,,,,,,,,,,,,,,,,,
1997 Q3,"33,923","12,934","11,619","2,232","2,598",435,"1,849",378,865,"1,605","1,199",458,"1,315",274,"1,041","7,563","2,313",585,933,795,"3,166","2,084","3,336",138,630,"2,568","1,620",728,84,136,[x],732,732,531,461,70,"4,023","4,023","2,968",612,683,962,444,267,"1,836","1,836",,,,,,,,,,,,,,,,,,,,
1997 Q4,"38,393","14,051","12,729","2,496","2,951",460,"1,861",417,840,"1,723","1,381",600,"1,322",336,986,"8,251","2,991",916,"1,227",848,"3,211","2,049","5,199",146,637,"4,416","2,169","1,925",149,173,[x],768,768,613,522,91,"4,146","4,146","3,030",511,644,957,564,354,"2,335","2,335",,,,,,,,,,,,,,,,,,,,
1998 Q1,"36,721","13,170","11,916","2,231","2,672",466,"1,887",365,802,"1,764","1,174",555,"1,254",312,942,"7,619","2,173",588,909,676,"3,437","2,009","5,337",152,641,"4,544","2,161","2,095",141,147,[x],741,741,561,496,65,"4,280","4,280","3,182",843,616,946,470,307,"1,831","1,831",,,,,,,,,,,,,,,,,,,,
1998 Q2,"36,834","14,037","12,550","2,352","2,754",492,"1,917",390,915,"1,966","1,250",514,"1,487",315,"1,172","7,897","2,563",625,"1,049",889,"3,365","1,969","3,946",177,671,"3,098","1,672","1,198",88,140,[x],765,765,563,507,56,"4,066","4,066","3,625","1,224",624,966,472,339,"1,935","1,935",,,,,,,,,,,,,,,,,,,,
1998 Q3,"35,414","13,841","12,324","2,330","2,648",474,"1,782",355,"1,028","1,853","1,350",504,"1,517",313,"1,204","7,593","2,403",597,989,817,"3,255","1,935","3,335",166,666,"2,503","1,586",713,76,128,[x],784,784,591,521,70,"4,249","4,249","3,025",577,623,981,492,352,"1,996","1,996",,,,,,,,,,,,,,,,,,,,
1998 Q4,"38,972","14,317","12,882","2,469","2,837",482,"1,802",437,887,"1,823","1,501",644,"1,435",340,"1,095","8,194","3,079",933,"1,263",883,"3,204","1,911","5,046",157,660,"4,229","2,141","1,789",119,180,[x],792,792,647,554,93,"4,170","4,170","3,271",571,637,996,620,447,"2,535","2,535",,,,,,,,,,,,,,,,,,,,
