Time period and codes,Total expenditure,Net tourism,Total domestic expenditure,Food and drink,"Alcohol, tobacco and narcotics",Clothing and footwear,Housing,"Furnishings, household equipment and routine maintenance of the house",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,NAT0,TOUR,0,01,02,03,04,05,06,07,08,09,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code, ABPB ,ABTE,ABQI,ABZV,ADFL,ADFP,ADFS,ADFY,ADGP,ADGT,ADGX,ADGY,ADIE,ADIF,ADII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"144,887",291,"144,596","12,939","7,207","6,044","41,064","8,072","2,474","19,336","3,341","13,950","1,390","12,735","16,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"150,474",607,"149,867","13,438","7,529","6,827","39,496","7,663","2,413","20,358","3,451","14,725","1,418","15,725","16,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"155,809",965,"154,844","12,934","7,563","6,929","39,264","7,650","2,415","25,246","3,500","13,884","1,453","16,507","17,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"159,193",-203,"159,396","14,051","8,251","9,393","41,305","9,174","2,597","19,442","3,845","15,748","1,489","15,760","18,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"153,347",560,"152,787","13,170","7,619","6,410","41,993","8,165","2,522","21,858","3,662","14,466","1,531","13,589","17,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"158,601","1,043","157,558","14,037","7,897","7,289","40,967","8,324","2,545","21,230","3,735","15,179","1,573","16,003","18,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"164,976","1,560","163,416","13,841","7,593","7,564","40,684","8,665","2,492","25,778","3,782","14,904","1,614","17,434","19,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"167,673",141,"167,532","14,317","8,194","9,787","42,999","9,966","2,516","20,415","4,125","17,239","1,654","16,714","19,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q1,"161,764",919,"160,845","13,825","7,590","6,851","43,524","8,622","2,371","21,888","3,915","15,759","1,758","14,459","20,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q2,"167,809","1,781","166,028","14,950","7,951","7,554","42,428","8,538","2,469","23,803","3,885","16,352","1,714","16,635","19,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q3,"171,596","2,401","169,195","14,254","7,934","7,726","42,390","8,858","2,402","26,859","3,978","16,485","1,688","18,140","18,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q4,"175,395",877,"174,518","13,958","8,718","10,211","44,678","10,288","2,490","21,399","4,334","18,595","1,691","17,461","20,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q1,"169,603","1,335","168,268","13,873","7,724","7,075","45,619","9,102","2,360","23,190","4,337","17,078","1,465","15,261","21,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q2,"174,789","2,183","172,606","14,261","8,115","8,023","43,967","9,053","2,361","25,089","4,244","17,540","1,732","17,531","20,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q3,"180,665","3,143","177,522","14,055","8,054","8,282","43,632","9,309","2,563","28,021","4,346","17,482","1,899","19,173","20,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q4,"184,449","1,302","183,147","14,807","8,745","11,062","46,084","10,786","2,636","22,895","4,712","19,673","1,976","18,555","21,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q1,"176,384","1,589","174,795","14,168","7,788","7,487","47,031","9,732","2,988","25,008","4,436","17,451","1,948","15,959","20,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q2,"182,014","2,888","179,126","14,623","8,167","8,296","45,630","9,696","2,812","26,256","4,336","18,453","2,028","17,862","20,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q3,"188,834","4,096","184,738","14,523","8,059","8,617","45,404","10,087","2,768","28,984","4,385","18,522","2,073","19,893","21,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q4,"190,719","1,880","188,839","15,783","8,709","11,463","47,624","11,596","2,907","23,714","4,893","20,562","2,080","18,714","20,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Q1,"181,615","2,248","179,367","14,432","7,691","8,155","48,449","10,216","3,106","25,434","4,400","19,113","2,056","16,386","19,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Q2,"188,019","3,235","184,784","14,831","8,031","9,059","47,019","10,033","3,058","26,493","4,442","19,864","2,022","18,802","21,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Q3,"193,679","4,167","189,512","14,672","7,988","9,307","46,844","10,139","3,008","29,642","4,441","19,312","1,989","20,842","21,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
