Time period and codes,Total Services,Clothing and footwear,Cleaning and hire of clothing,Repair and hire of footwear,"Housing, water, electricity, gas and other fuel",Actual rentals for housing,Actual rentals paid by tenants,Other actual rentals,Imputed rentals for housing,Imputed rentals for owner-occupiers,Other imputed rentals,Maintenance and repair of the dwelling services,Refuse collection,Sewerage collection,Other services relating to the dwelling,Household services,"Repair of furniture, furnishings and floor coverings",Repair of household appliances,Domestic and household services,Health,Out-patient services,Medical services,Dental services,Paramedical services,Hospital services,Transport,Maintenance and repair of personal transport equipment,Other services in respect of personal transport equipment,Transport services,Rail,Road,Air,Sea and inland waterway,Other purchased transport services,Communication,Postal services,Telephone and telefax services,Recreation and culture,Repairs of audio-visual etc equipment,Maintenance and repairs of other major durables,Veterinary and other services for pets,Recreational and cultural services,Recreational and sporting services,Cultural services,Games of chance,"Package holidays
[note 2]",Education,Restaurant and hotels,Catering services,"Restaurants, cafes etc
[note 3][note 4]",Canteens,Accommodation,Miscellaneous,Hairdressing salons and personal grooming establishments,Prostitution,Social protection,Insurance,Life insurance,Insurance connected with the dwelling,Insurance connected with health,Insurance connected with transport,Other insurance,"Financial services n.e.c
[note 7]","FISIM
[note 5]","Other financial services n.e.c
[note 7]","Other services n.e.c
[note 7]",,
COICOP identifier code,TS,TS03,03.1.4,03.2.2,TS04,04.1,04.1.1,04.1.2,04.2,04.2.1,04.2.2,04.3.2,04.4.2,04.4.3,04.4.4,TS05,05.1.3,05.3.3,05.6.2,TS06,06.2,06.2.1,06.2.2,06.2.3,06.3,TS07,07.2.3,07.2.4,07.3,07.3.1,07.3.2,07.3.3,07.3.4,07.3.6,TS08,08.1,08.3,TS09,09.1.5,09.2.3,09.3.5,09.4,09.4.1,09.4.2,09.4.3,09.6,10,11,11.1,11.1.1,11.1.2,11.2,TS12,12.1.1,12.2,12.4,12.5,12.5.1,12.5.2,12.5.3,12.5.4,12.5.5,12.6,12.6.1,12.6.2,12.7,,
CDID identifier code,UTIM,LLJD,ADUT,AWTX,LLJE,ADFT,ADUX,ADUY,ADFU,CDDF,ADVB,AWTY,UUOX,ADVG,UUOY,LLJF,ADVO,ADVR,ADVV,LLJG,ADGR,ADVW,ADVX,UTME,ADGS,LLJH,AWTZ,ADWG,ADGW,AWUA,ADWI,AWUB,AWUC,AWUD,LLJI,CDEF,ADWP,LLJJ,ADWU,ADWX,ADXC,ADIA,ADXD,ADXE,CDEM,ADID,ADIE,ADIF,ADIG,ADXO,ADXP,ADIH,LLJK,CDEV,MNC8,ADIL,ADIM,ADXW,ADXX,ADXY,ADXZ,ADYA,ADIN,C68S,ADYC,ADIO,,
1997 Q1,"80,818",169,154,15,"35,309","5,917","5,899",18,"28,605","27,678",927,182,19,586, [x] ,666,7,115,544,"1,530",937,570,298,69,593,"7,489","2,406",799,"4,284",860,"1,185","1,623",411,205,"3,097",232,"2,865","4,988",56,301,210,"4,421",938,"1,821","1,662",[x],"1,390","12,735","10,695","9,710",985,"2,040","13,445",743,510,"1,415","3,617","2,283",299,358,303,374,"5,165","2,623","2,542","1,995",,
1997 Q2,"86,220",170,155,15,"35,713","6,023","6,004",19,"28,878","27,936",942,174,19,619, [x] ,565,7,44,514,"1,491",887,531,296,60,604,"8,415","2,562",845,"5,008",907,"1,389","2,127",343,242,"3,150",255,"2,895","5,558",50,305,209,"4,994",996,"2,207","1,791",[x],"1,418","15,725","12,693","11,517","1,176","3,032","14,015",744,516,"1,405","3,869","2,383",315,401,370,400,"5,497","2,973","2,524","1,984",,
1997 Q3,"89,426",165,151,14,"35,928","6,053","6,033",20,"29,072","28,113",959,162,20,621, [x] ,635,8,108,519,"1,497",878,520,295,63,619,"9,953","2,591",830,"6,532","1,004","1,520","3,015",699,294,"3,167",199,"2,968","5,475",49,303,197,"4,926",975,"2,167","1,784",[x],"1,453","16,507","12,874","11,883",991,"3,633","14,646",741,524,"1,423","3,797","2,452",290,361,329,365,"6,034","3,351","2,683","2,127",,
1997 Q4,"87,741",166,147,19,"36,106","6,072","6,052",20,"29,230","28,255",975,161,20,623, [x] ,634,8,92,534,"1,621",989,593,323,73,632,"8,417","2,578",768,"5,071",938,"1,593","1,855",467,218,"3,437",434,"3,003","5,468",55,307,197,"4,909",923,"2,219","1,767",[x],"1,489","15,760","13,218","12,143","1,075","2,542","14,643",774,529,"1,407","3,623","2,566",259,280,201,317,"6,225","3,395","2,830","2,085",,
1998 Q1,"85,815",163,143,20,"36,656","6,350","6,329",21,"29,489","28,505",984,172,20,625, [x] ,646,9,93,544,"1,589",979,554,346,79,610,"8,142","2,587",866,"4,689",887,"1,305","1,822",459,216,"3,168",179,"2,989","5,356",61,309,203,"4,783",927,"2,052","1,804",[x],"1,531","13,589","11,424","10,251","1,173","2,165","14,975",801,536,"1,392","3,891","2,542",288,365,332,364,"6,430","3,535","2,895","1,925",,
1998 Q2,"90,612",170,147,23,"37,021","6,450","6,429",21,"29,751","28,760",991,136,21,663, [x] ,582,7,46,529,"1,610",982,549,350,83,628,"8,972","2,657",874,"5,441",923,"1,545","2,316",406,251,"3,295",159,"3,136","5,654",63,311,222,"5,058",987,"2,296","1,775",[x],"1,573","16,003","12,909","11,682","1,227","3,094","15,732",833,544,"1,356","4,027","2,645",290,373,351,368,"6,693","3,523","3,170","2,279",,
1998 Q3,"94,187",181,157,24,"37,349","6,499","6,478",21,"30,060","29,055","1,005",120,20,650, [x] ,676,9,117,550,"1,524",898,506,323,69,626,"10,432","2,685",927,"6,820","1,008","1,600","3,218",687,307,"3,319",141,"3,178","5,695",63,314,231,"5,087","1,018","2,302","1,767",[x],"1,614","17,434","13,693","12,617","1,076","3,741","15,963",861,551,"1,391","3,910","2,750",252,309,283,316,"7,068","3,664","3,404","2,182",,
1998 Q4,"92,519",196,171,25,"37,953","6,579","6,557",22,"30,580","29,557","1,023",141,19,634, [x] ,676,10,104,562,"1,475",875,516,299,60,600,"8,984","2,678",786,"5,520",952,"1,599","2,233",513,223,"3,520",306,"3,214","5,701",58,317,251,"5,075",966,"2,353","1,756",[x],"1,654","16,714","14,133","12,963","1,170","2,581","15,646",890,562,"1,364","3,614","2,856",199,199,120,240,"6,791","3,518","3,273","2,425",,
