Time period and codes,Total goods,Food and non-alcoholic beverages,"Alcoholic beverages and tobacco
[note 1]",Clothing and footwear,"Housing, water, electricity, gas and other fuel",Household goods,Health,Transport,Communication,Recreation and culture,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,TG,TG01,TG02,TG03,TG04,TG05,TG06,TG07,TG08,TG09,TG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,UTIE,ABZV,ADFL,LLIP,LLIQ,LLIR,LLIS,LLIT,LLIU,LLIV,LLIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"63,778","12,939","7,207","5,875","5,755","7,406",944,"11,847",244,"8,962","2,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"63,647","13,438","7,529","6,657","3,783","7,098",922,"11,943",301,"9,167","2,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"65,418","12,934","7,563","6,764","3,336","7,015",918,"15,293",333,"8,409","2,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"71,655","14,051","8,251","9,227","5,199","8,540",976,"11,025",408,"10,280","3,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"66,972","13,170","7,619","6,247","5,337","7,519",933,"13,716",494,"9,110","2,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"66,946","14,037","7,897","7,119","3,946","7,742",935,"12,258",440,"9,525","3,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"69,229","13,841","7,593","7,383","3,335","7,989",968,"15,346",463,"9,209","3,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"75,013","14,317","8,194","9,591","5,046","9,290","1,041","11,431",605,"11,538","3,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
